Time,Q1 Weekday (Jan-Mar) Sunset ~1745,Q1 Saturday,Q1 Sunday (Batch Day),Q2 Weekday (Apr-Jun) Sunset ~1930,Q2 Saturday,Q2 Sunday (Batch Day),Q3 Weekday (Jul-Sep) Sunset ~1945,Q3 Saturday,Q3 Sunday (Batch Day),Q4 Weekday (Oct-Dec) Sunset ~1715,Q4 Saturday,Q4 Sunday (Batch Day)
1030,Work,Free Time — Wander + Explore + Photos,Free Time — Personal Projects,Work,Free Time — Wander PB/OB + Photos,Free Time — Personal Projects,Work,Free Time — Explore Area + Photos,Free Time — Personal Projects,Work,Free Time — Relax,Free Time — Personal Projects
1045,Work,Free Time — Community Interaction,Free Time — Personal Projects,Work,Free Time — Community Interaction,Free Time — Personal Projects,Work,Free Time — Community Interaction,Free Time — Relax,Work,Free Time — Relax,Free Time — Relax
1100,Work,Free Time — Snap Photos,Free Time — Relax,Work,Free Time — Snap Photos,Free Time — Relax,Work,Free Time — Snap Photos,Free Time — Relax,Work,Golden Hour — Bayfront Park (5 min),Free Time — Relax
1115,Work,Free Time — Explore,Free Time — Relax,Work,Free Time — Explore,Free Time — Relax,Work,Free Time — Explore,Free Time — Relax,Work,Golden Hour — Bayfront Photos,Free Time — Relax
1130,Work,Free Time — Explore,Free Time — Relax,Work,Free Time — Explore,Free Time — Relax,Work,Free Time — Explore,Free Time — Relax,Work,Golden Hour — Bayfront Photos,Free Time — Relax
1145,Work,Free Time — Explore,Lunch,Work,Free Time — Explore,Lunch,Work,Free Time — Explore,Lunch,Work,Sunset — Bayfront Park,Lunch
1200,Work,Free Time — Explore + Photos,Lunch,Work,Free Time — Explore + Photos,Lunch,Work,Free Time — Explore + Photos,Lunch,Work,Sunset — Post Best Shot,Lunch
1215,Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors (No Camera),Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors (No Camera),Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors (No Camera),Work,Post Best Shot + Drive Home,Free Time — Walk / Outdoors (No Camera)
1230,Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors,Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors,Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors,Work,Drive Home (5 min),Free Time — Walk / Outdoors
1245,Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors,Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors,Work,Free Time — Explore + Photos,Free Time — Walk / Outdoors,Work,Home — Bed — Sleep,Free Time — Walk / Outdoors
1300,Work,Golden Hour — Current Location,Free Time — Walk / Outdoors,Work,Golden Hour — Current Location,Free Time — Walk / Outdoors,Work,Golden Hour — Current Location,Free Time — Walk / Outdoors,Work,Sleep,Free Time — Walk / Outdoors
1315,Work,Golden Hour Photos,Free Time — Relax,Work,Golden Hour Photos,Free Time — Relax,Work,Golden Hour Photos,Free Time — Relax,Work,Sleep,Free Time — Relax
1330,Work,Golden Hour Photos,Free Time — Relax,Work,Golden Hour Photos,Free Time — Relax,Work,Golden Hour Photos,Free Time — Relax,Work,Sleep,Free Time — Relax
1345,Work,Golden Hour Photos,Prep for Monday (Clothes + Bag),Work,Golden Hour Photos,Prep for Monday (Clothes + Bag),Work,Golden Hour Photos,Prep for Monday (Clothes + Bag),Work,Sleep,Prep for Monday (Clothes + Bag)
1400,Work,Sunset — Current Location,Prep for Monday,Work,Golden Hour Photos,Prep for Monday,Work,Golden Hour Photos,Prep for Monday,Work,Sleep,Prep for Monday
1415,Work,Sunset Photos,Early Wind Down,Work,Golden Hour Photos,Early Wind Down,Work,Golden Hour Photos,Early Wind Down,Work,Sleep,Early Wind Down
1430,Work,Sunset — Post Best Shot,Early Wind Down,Work,Sunset Photos,Early Wind Down,Work,Sunset Photos,Early Wind Down,Work,Sleep,Early Wind Down
1445,Work,Post Best Shot + Drive Home,Bed — Sleep,Work,Sunset Photos,Bed — Sleep,Work,Sunset Photos,Bed — Sleep,Work,Sleep,Bed — Sleep
1500,Work,Drive Home,Sleep,Work,Sunset — Post Best Shot,Sleep,Work,Sunset — Post Best Shot,Sleep,Work,Sleep,Sleep
1515,Work,Drive Home,Sleep,Work,Post Best Shot + Drive Home,Sleep,Work,Post Best Shot + Drive Home,Sleep,Work,Sleep,Sleep
1530,Work,Home — Bed — Sleep,Sleep,Work,Drive Home,Sleep,Work,Drive Home,Sleep,Work,Sleep,Sleep
1545,Work,Sleep,Sleep,Work,Drive Home,Sleep,Work,Drive Home,Sleep,Work,Sleep,Sleep
1600,Commute Home,Sleep,Sleep,Commute Home,Home — Bed — Sleep,Sleep,Commute Home,Home — Bed — Sleep,Sleep,Commute Home,Sleep,Sleep
1615,Commute Home,Sleep,Sleep,Commute Home,Sleep,Sleep,Commute Home,Sleep,Sleep,Commute Home,Sleep,Sleep
1630,Commute Home,Sleep,Sleep,Commute Home,Sleep,Sleep,Commute Home,Sleep,Sleep,Commute Home,Sleep,Sleep
1645,Home + Eat Burrito + Grab Camera,Sleep,Sleep,Home + Eat Burrito + Grab Camera,Sleep,Sleep,Home + Eat Burrito + Grab Camera,Sleep,Sleep,Home + Eat Burrito,Sleep,Sleep
1700,CORE: CV Run Club — Memorial Park (5 min),Sleep,Sleep,CORE: CV Run Club — Memorial Park (5 min),Sleep,Sleep,CORE: CV Run Club — Memorial Park (5 min),Sleep,Sleep,CORE: CV Run Club — Memorial Park (5 min),Sleep,Sleep
1715,CV Run Club — Group Run + Photos,Sleep,Sleep,CV Run Club — Group Run + Photos,Sleep,Sleep,CV Run Club — Group Run + Photos,Sleep,Sleep,CV Run Club — Group Run + Photos,Sleep,Sleep
1730,CV Run Club — Post-Run Hang + Photos,Sleep,Sleep,CV Run Club — Post-Run Hang + Photos,Sleep,Sleep,CV Run Club — Post-Run Hang + Photos,Sleep,Sleep,Post Best Shot + Drive Home,Sleep,Sleep
1745,Post Best Shot + Drive Home,Sleep,Sleep,CV Run Club — Post-Run Community,Sleep,Sleep,CV Run Club — Post-Run Community,Sleep,Sleep,Home — Bed — Sleep,Sleep,Sleep
1800,Home — Bed — Sleep,Sleep,Sleep,Golden Hour — Walk Nearby + Snap Photos,Sleep,Sleep,Golden Hour — Walk Nearby + Snap Photos,Sleep,Sleep,Sleep,Sleep,Sleep
1815,Sleep,Sleep,Sleep,Golden Hour Photos,Sleep,Sleep,Golden Hour Photos,Sleep,Sleep,Sleep,Sleep,Sleep
1830,Sleep,Sleep,Sleep,Sunset — Post Best Shot,Sleep,Sleep,Sunset — Post Best Shot,Sleep,Sleep,Sleep,Sleep,Sleep
1845,Sleep,Sleep,Sleep,Post Best Shot + Drive Home,Sleep,Sleep,Sunset — Post Best Shot,Sleep,Sleep,Sleep,Sleep,Sleep
1900,Sleep,Sleep,Sleep,Drive Home,Sleep,Sleep,Post Best Shot + Drive Home,Sleep,Sleep,Sleep,Sleep,Sleep
1915,Sleep,Sleep,Sleep,Home — Bed — Sleep,Sleep,Sleep,Drive Home,Sleep,Sleep,Sleep,Sleep,Sleep
1930,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Home — Bed — Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
1945,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
2000,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
